SPI-H,SPI-A,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
70,42.2,-0.75,1.88,1.83,2.09,2.03
63.1,64.3,0,1.99,1.92,2,1.92
91.5,70,-2.75,2.05,1.98,1.91,1.87
42.2,61.9,0,1.98,1.9,2.01,1.94
76.1,70.2,-0.25,1.92,1.87,2.03,1.99
76.9,57.8,-1,1.83,1.78,2.14,2.09
63.9,58.8,0.25,2.06,1.98,1.94,1.87
69.2,45.3,-0.75,1.9,1.85,2.06,2
65.1,69.7,-0.25,1.91,1.88,2.04,1.98
78,75.3,-1.5,1.89,1.82,2.09,2.04
61.9,78,1.5,1.9,1.83,2.11,2.04
70.2,76.9,0.5,1.94,1.9,2.02,1.97
57.8,63.9,-0.25,1.93,1.88,2.04,1.99
69.2,63.1,-1,1.85,1.81,2.11,2.06
75.3,91.5,2,1.81,1.74,2.21,2.15
70,65.1,-0.5,1.97,1.92,1.98,1.94
58.8,69.7,-1,2.16,2.09,1.85,1.79
64.3,76.1,-0.5,2.06,2.01,1.9,1.86
45.3,42.2,-0.5,2.11,2.06,1.86,1.81
42.2,57.8,0,2.2,2.09,1.83,1.79
91.5,64.3,-2.5,1.94,1.8,2.12,2.07
63.1,45.3,0,1.92,1.88,2.02,1.97
76.1,69.2,0.25,1.92,1.87,2.05,1.99
63.9,70.2,-0.25,1.97,1.92,1.98,1.93
69.7,61.9,-0.25,2.06,1.99,1.94,1.87
65.1,58.8,0.25,2,1.95,1.95,1.9
78,70,-2,1.92,1.87,2.05,1.98
76.9,75.3,0.75,1.92,1.84,2.1,2.01
75.3,63.1,-1,2.07,2,1.9,1.85
57.8,65.1,-0.5,2.26,2.21,1.75,1.7
61.9,63.9,-0.25,2.05,1.98,1.94,1.88
